cap_ave numeric,remove,ooo,money,free,our,char_$,char_!,class
3.4,1,2,1,1,1,2,1,spam
3.639,1,1,1,2,2,1,3,spam
2.81,1,1,1,2,2,1,3,spam
4.897,1,2,1,2,1,1,2,spam
1.153,2,1,1,2,2,1,2,spam
10.068,1,2,1,2,1,1,3,spam
5.5,1,1,1,1,1,1,3,spam
5.5,1,1,1,1,1,1,3,spam
10.068,1,2,1,2,1,1,3,spam
5.5,1,1,1,1,1,1,3,spam
5.793,1,2,1,2,1,1,3,spam
2.913,1,1,1,1,1,1,1,spam
4.155,2,2,2,2,2,2,1,spam
1.972,1,1,1,2,2,1,3,spam
2.37,1,1,2,1,1,2,1,spam
2.379,1,1,2,1,1,2,1,spam
102.666,2,1,1,1,2,1,3,spam
2.37,1,1,2,1,1,2,1,spam
7.202,1,2,2,2,2,2,2,spam
5.709,2,1,1,1,2,1,2,spam
2.074,2,2,1,1,2,2,1,spam
5.567,2,1,2,1,2,1,3,spam
10,2,1,2,1,1,1,3,spam
1.838,2,1,1,1,2,2,3,spam
4.523,2,2,1,2,2,2,3,spam
1.979,2,1,2,2,2,1,2,spam
4,1,2,1,1,1,2,2,spam
2.128,1,1,1,2,2,2,2,spam
5.428,1,2,2,2,2,2,2,spam
1.1,1,1,1,2,2,1,1,spam
1.769,1,1,1,2,2,1,1,spam
5.428,1,2,2,2,2,2,2,spam
7.202,1,2,2,2,2,2,2,spam
1.181,1,1,1,2,1,1,3,spam
4.277,1,2,1,1,1,2,2,spam
2.562,1,1,2,1,1,2,1,spam
1.617,1,1,2,2,2,2,3,spam
1.461,1,1,2,1,1,1,2,spam
5.135,2,1,1,2,2,2,3,spam
1.064,1,1,1,1,2,1,2,spam
2.033,1,1,1,2,2,1,3,spam
1.796,1,1,1,2,2,1,3,spam
2.375,1,1,1,2,1,1,1,spam
48.5,2,1,1,1,2,2,2,spam
5.714,1,1,2,1,2,1,3,spam
6.233,1,1,1,2,2,2,2,spam
3.4,1,2,1,1,1,2,1,spam
3.4,1,2,1,1,1,2,1,spam
3.363,2,1,2,1,1,1,3,spam
4.5,2,1,1,1,2,1,1,spam
3.768,1,1,1,2,2,1,3,spam
5.425,2,1,1,1,2,1,3,spam
10.117,2,1,2,1,1,1,3,spam
5.549,2,1,2,2,2,1,2,spam
4.07,2,2,1,1,2,1,1,spam
2,1,1,1,2,2,1,3,spam
1.969,1,1,1,2,2,1,3,spam
2.13,1,2,1,1,1,1,3,spam
1.1,1,1,1,1,1,1,1,spam
2.451,1,1,2,2,2,2,3,spam
4.024,1,1,1,2,2,1,3,spam
2.179,1,2,1,1,1,1,3,spam
5.297,2,2,2,1,1,2,2,spam
3.335,2,2,2,1,1,2,2,spam
5.114,1,1,2,1,2,1,3,spam
1.307,1,1,1,1,1,1,2,spam
1,1,1,1,1,1,1,3,spam
1.364,1,1,2,1,2,2,1,spam
9.428,2,1,1,2,2,1,1,spam
2.823,1,2,2,2,2,2,2,spam
1.463,1,1,1,2,2,1,3,spam
5.02,2,1,1,1,2,1,3,spam
2.333,1,1,1,1,1,2,2,spam
4.07,2,2,1,1,2,1,2,spam
5.454,2,2,1,2,2,2,3,spam
2.676,2,1,1,2,1,1,1,spam
5.047,2,1,1,2,2,2,3,spam
3.923,1,2,1,2,2,2,3,spam
4,1,2,1,2,2,2,3,spam
3.184,1,2,1,1,2,2,2,spam
2.403,1,1,1,2,2,1,3,spam
2.122,1,1,1,2,2,1,3,spam
2.25,2,1,1,1,1,1,2,spam
86.65,2,2,2,2,2,2,3,spam
3.812,2,1,1,2,1,1,1,spam
6.266,1,1,1,2,1,2,2,spam
1.423,1,2,1,1,2,1,1,spam
1.423,1,2,1,1,2,1,1,spam
6.815,2,2,1,2,2,2,2,spam
3.4,1,2,1,1,1,2,1,spam
9.043,1,1,2,2,2,1,3,spam
1.537,2,1,2,2,2,2,1,spam
3.112,1,1,2,2,2,1,2,spam
2.021,1,1,1,2,2,1,3,spam
13,2,1,1,2,1,2,1,spam
5.328,2,1,1,2,2,2,3,spam
6.586,2,1,1,1,2,1,3,spam
1.103,1,1,1,1,1,1,1,spam
1.103,1,1,1,1,1,1,1,spam
4.16,2,2,1,1,2,1,1,spam
7.17,1,1,1,2,1,1,1,spam
1.293,1,1,1,2,1,1,3,spam
16.739,2,1,1,1,2,1,3,spam
1.494,2,1,2,2,2,2,1,spam
11.888,1,1,1,1,2,1,3,spam
16.739,2,1,1,1,2,1,3,spam
1.823,2,1,1,2,1,2,2,spam
3.493,1,2,1,2,2,2,3,spam
2.5,1,1,1,1,1,1,1,spam
5.594,2,1,2,2,2,1,2,spam
3.401,1,1,2,2,2,2,3,spam
3.401,1,1,2,2,2,2,3,spam
4.153,1,1,1,2,1,1,3,spam
2.604,1,2,1,2,2,2,3,spam
2.195,2,1,2,2,2,2,1,spam
3.456,2,1,2,1,2,2,2,spam
2.195,2,1,2,2,2,2,1,spam
5.423,2,1,1,2,2,2,3,spam
6.294,2,1,1,1,2,1,3,spam
5.687,1,1,1,1,2,1,3,spam
2.866,1,1,2,2,1,2,2,spam
1.829,2,1,1,2,2,1,1,spam
2.962,1,1,2,1,1,2,2,spam
2.529,2,1,1,2,2,1,3,spam
9.428,2,1,1,1,2,1,1,spam
16.217,2,1,1,1,2,1,3,spam
3.564,2,2,1,1,1,1,1,spam
3.459,1,2,1,2,2,2,3,spam
16.217,2,1,1,1,2,1,3,spam
6.364,2,1,1,1,2,1,2,spam
14.818,2,1,1,2,1,2,3,spam
6.789,2,1,1,1,2,1,3,spam
2.9,1,1,1,1,1,1,3,spam
5.058,2,1,1,2,2,2,3,spam
2.22,1,1,1,2,2,1,3,spam
1.206,1,1,1,2,2,1,3,spam
4.064,2,1,2,1,2,1,3,spam
5.163,2,1,2,1,2,1,3,spam
1.206,1,1,1,1,2,1,1,spam
6.487,1,2,2,2,1,2,3,spam
1.494,2,1,2,2,2,2,1,spam
2,1,1,1,2,1,2,3,spam
2.623,1,1,2,1,1,2,2,spam
2.917,2,1,1,2,2,1,3,spam
2.542,1,1,2,1,1,2,2,spam
2.333,2,2,1,2,2,2,3,spam
2.616,1,1,1,1,1,1,1,spam
2.9,1,1,1,1,1,1,3,spam
1.333,1,1,1,1,1,1,2,spam
5.8,2,1,1,2,2,1,2,spam
1.2,1,1,1,2,2,1,3,spam
3.718,1,1,1,2,2,1,3,spam
1.357,1,1,1,1,1,1,3,spam
4.35,2,1,1,1,2,2,3,spam
4.818,1,1,2,1,1,2,1,spam
2.698,1,1,2,1,1,2,2,spam
4.617,1,1,1,1,1,1,3,spam
4.592,1,1,1,2,2,1,3,spam
1.266,1,1,1,1,1,1,1,spam
4.74,2,1,1,2,2,2,3,spam
4.835,2,1,1,2,2,2,3,spam
7.055,1,1,1,1,1,1,3,spam
4.5,1,1,2,1,1,2,1,spam
5.538,1,1,1,2,1,2,2,spam
1.48,2,1,1,1,1,1,2,spam
2.776,1,1,2,1,2,2,2,spam
3.787,1,2,1,2,2,2,3,spam
2.44,1,2,1,2,2,2,3,spam
1.477,1,1,1,2,1,1,2,spam
1.583,2,1,1,1,1,1,1,spam
1.494,2,1,2,2,2,2,1,spam
4.23,1,1,2,1,1,2,1,spam
5.538,1,1,1,2,1,2,2,spam
2.44,1,2,1,2,2,2,3,spam
1021.5,1,1,1,1,2,2,1,spam
1.477,1,1,1,2,1,1,2,spam
2.811,1,1,1,1,2,1,3,spam
2.44,1,2,1,2,2,2,3,spam
1.477,1,1,1,2,1,1,2,spam
3.787,1,2,1,2,2,2,3,spam
5.538,1,1,1,2,1,2,2,spam
1.494,2,1,2,2,2,2,1,spam
1.736,2,2,1,1,2,2,1,spam
4.735,2,2,1,1,1,2,1,spam
1,2,1,1,2,1,1,1,spam
1,2,1,1,2,1,1,1,spam
1,1,1,1,1,1,1,3,spam
1.227,1,1,1,2,2,1,3,spam
4.022,1,1,1,2,2,1,3,spam
1.494,2,1,2,2,2,2,1,spam
4.022,1,1,1,2,2,1,3,spam
3.178,2,1,1,1,1,1,2,spam
1.493,2,1,1,2,2,2,2,spam
2.315,1,1,1,1,2,2,2,spam
3.922,1,1,1,1,1,1,2,spam
2.966,1,1,1,2,2,2,3,spam
1,1,1,1,2,2,1,1,spam
4.818,1,1,2,1,1,2,1,spam
3.548,1,2,2,2,2,2,2,spam
7.497,2,2,1,2,2,2,3,spam
1.775,1,2,1,1,2,2,1,spam
3.664,1,2,2,2,2,2,3,spam
4.911,2,1,2,2,2,2,2,spam
1.696,2,1,1,1,2,1,2,spam
3.8,1,1,1,1,1,1,1,spam
3.428,1,2,1,1,2,2,2,spam
3.217,2,1,2,1,2,2,2,spam
3.702,1,2,2,2,2,2,3,spam
2.517,2,1,1,2,2,1,3,spam
4.281,1,2,2,1,2,2,2,spam
1.181,2,1,1,1,2,1,3,spam
1.88,2,2,2,2,2,1,2,spam
1.229,1,1,1,2,2,1,3,spam
1.361,1,1,1,1,2,1,1,spam
3.5,1,1,1,1,1,1,3,spam
4.93,1,1,1,2,1,1,1,spam
2.593,2,1,1,2,2,1,2,spam
5.634,2,1,1,1,2,1,2,spam
6.274,1,2,1,2,2,2,3,spam
2.705,1,1,2,1,1,2,2,spam
15.086,2,1,1,1,2,1,2,spam
2.52,2,2,1,2,2,2,3,spam
4.928,2,1,2,1,2,1,3,spam
6.238,2,1,1,1,2,1,2,spam
6.59,1,2,2,2,2,2,3,spam
2.559,1,1,2,2,2,2,2,spam
5.113,2,1,1,2,2,2,3,spam
1.3,1,1,1,2,2,1,3,spam
5.783,2,2,2,1,1,2,2,spam
2.125,2,1,1,2,1,1,3,spam
2.058,2,1,1,2,2,1,2,spam
4.77,2,1,1,2,2,1,3,spam
2.032,1,1,1,2,2,1,1,spam
2.441,2,2,1,1,2,2,3,spam
1.312,1,1,1,2,1,1,2,spam
3.895,1,1,1,2,2,1,3,spam
1.5,1,1,1,1,1,1,1,spam
3.577,1,2,2,2,2,2,2,spam
1.44,1,1,1,1,2,1,3,spam
3.6,1,2,1,1,1,2,2,spam
15.493,1,2,2,1,2,2,2,spam
1.531,2,1,1,1,1,1,1,spam
13.82,2,1,1,2,2,1,2,spam
2.576,1,1,2,2,2,2,2,spam
2.351,1,1,1,2,2,1,1,spam
2.351,1,1,1,2,2,1,1,spam
12.382,2,1,2,2,1,1,3,spam
3.125,1,1,2,1,2,2,3,spam
3.2,1,2,1,1,2,2,1,spam
1,1,1,1,2,1,1,1,spam
2.25,1,1,1,2,2,1,1,spam
2.022,1,1,1,2,1,2,2,spam
4,1,1,1,1,1,2,2,spam
7.951,2,1,1,1,2,1,2,spam
3.6,1,2,1,1,1,2,1,spam
2.681,1,1,1,1,1,1,3,spam
11.288,1,2,2,1,2,2,2,spam
3.78,1,1,1,1,2,1,1,spam
2.3,1,1,1,1,1,1,3,spam
1.666,1,1,1,1,1,1,3,spam
1.666,1,1,1,1,1,1,3,spam
2.3,1,1,1,1,1,1,3,spam
1.688,2,1,2,2,2,2,1,spam
3.95,1,2,1,1,1,2,2,spam
1.864,1,1,1,1,1,1,1,spam
1,1,1,1,1,1,1,3,spam
5.833,1,1,2,2,2,2,3,spam
6.813,2,2,2,2,2,2,2,spam
3.714,1,1,1,1,1,1,2,spam
6.8,2,2,2,2,2,2,2,spam
3.298,1,2,1,1,2,2,2,spam
2.05,2,2,1,1,2,2,2,spam
8.181,2,2,1,2,2,2,3,spam
6.8,2,2,2,2,2,2,2,spam
3.794,2,1,2,1,2,2,3,spam
2.363,1,1,1,1,1,1,1,spam
6.033,2,2,2,1,2,2,3,spam
6.518,1,2,2,2,2,2,3,spam
3,1,1,1,1,1,1,1,spam
4.1,1,2,1,1,1,2,3,spam
7.54,2,2,1,2,2,2,2,spam
3.244,2,2,1,1,1,2,2,spam
4.623,2,2,2,2,2,2,3,spam
2.84,1,2,1,1,1,2,3,spam
5.608,2,2,2,1,2,2,3,spam
11,1,2,2,1,2,2,2,spam
4.398,2,1,1,2,1,2,2,spam
4.066,1,1,1,1,1,2,2,spam
3.333,2,2,1,2,1,1,2,spam
2.972,1,1,1,1,1,1,1,spam
1.777,1,1,1,1,1,2,3,spam
3.278,2,2,1,1,2,2,2,spam
8.026,2,2,2,2,2,2,3,spam
3.689,1,2,1,1,2,1,2,spam
5.074,1,2,1,1,2,2,1,spam
3.871,1,1,1,1,2,1,2,spam
6.049,2,2,2,2,2,2,3,spam
7.538,1,2,1,1,2,2,2,spam
2.9,1,2,1,1,1,2,2,spam
3,1,2,1,1,1,2,2,spam
2.61,1,2,2,1,2,2,2,spam
3.75,1,1,1,1,1,2,2,spam
4.133,1,1,1,1,1,2,2,spam
1.47,2,1,1,2,1,2,1,spam
1.636,1,2,1,2,1,2,2,spam
1.095,1,1,1,1,2,1,1,spam
1,1,1,2,1,1,1,1,spam
3.871,1,1,1,1,2,1,2,spam
7.369,2,1,2,1,2,1,2,spam
1.204,2,1,1,1,1,1,1,spam
1.594,2,1,1,1,2,1,2,spam
4.913,1,1,2,2,2,2,3,spam
6.683,1,2,2,2,2,2,3,spam
3.15,1,1,2,1,1,2,2,spam
6.978,2,1,2,2,2,1,2,spam
5.274,1,1,2,2,1,2,3,spam
5.778,1,1,1,2,2,1,3,spam
2.232,1,2,2,1,1,2,2,spam
2.35,2,1,1,2,1,1,2,spam
3.666,1,1,1,1,1,1,1,spam
2.695,2,1,1,1,1,1,1,spam
5.555,1,1,1,2,2,1,1,spam
6.171,2,2,2,1,2,2,2,spam
5.875,1,1,1,1,1,1,3,spam
3.857,1,1,1,1,1,2,2,spam
9.2,1,1,1,1,1,1,3,spam
2.766,1,1,2,2,1,2,2,spam
6.652,2,1,2,2,1,2,3,spam
6.652,2,1,2,2,1,2,3,spam
2.695,2,1,1,1,1,1,1,spam
4.047,1,1,1,1,1,2,1,spam
4.947,2,1,2,1,2,2,3,spam
62.75,1,2,1,1,1,1,1,spam
3.816,1,2,1,1,2,1,2,spam
1.287,1,1,1,2,2,1,2,spam
3.2,1,1,1,1,1,1,2,spam
2.769,1,1,1,1,1,1,1,spam
1.325,2,1,1,2,1,1,2,spam
3.155,2,1,2,2,2,2,3,spam
1.961,2,2,1,1,2,2,1,spam
11.035,2,1,1,1,1,1,2,spam
2.551,1,1,1,1,1,1,3,spam
6.896,2,2,2,2,1,2,2,spam
1.526,1,1,1,1,1,1,2,spam
5.175,1,1,2,1,2,1,3,spam
5.774,1,2,2,2,2,2,2,spam
3.846,1,2,1,2,2,2,2,spam
14.5,1,1,1,1,1,1,1,spam
5,2,2,1,2,1,1,3,spam
4.215,1,2,2,1,2,2,2,spam
2.375,2,2,1,1,2,2,3,spam
8.55,2,2,1,1,2,2,3,spam
4.215,1,2,2,1,2,2,2,spam
6.134,1,2,2,2,2,2,3,spam
2.651,1,2,1,2,2,1,3,spam
1.916,1,1,1,1,1,2,3,spam
1.827,1,2,1,1,1,1,2,spam
7.054,1,2,1,1,1,1,2,spam
1.102,2,1,1,2,2,1,2,spam
4.285,2,1,2,1,2,2,3,spam
1.25,1,1,1,1,2,1,2,spam
2.324,1,2,2,1,1,2,2,spam
4.029,2,1,1,1,1,2,2,spam
3.925,1,1,1,1,1,1,1,spam
3,2,2,1,2,1,2,3,spam
2.481,2,1,1,2,2,1,3,spam
3.179,2,1,2,1,2,2,3,spam
1,1,1,1,1,1,1,1,spam
6.152,2,2,2,2,2,2,3,spam
7.527,2,1,1,1,2,1,2,spam
3.979,1,1,2,1,2,1,3,spam
4.337,1,1,1,2,2,1,3,spam
3.488,2,1,1,1,1,1,3,spam
7.512,2,1,1,1,2,2,1,spam
4.181,2,1,2,1,1,1,2,spam
92.333,2,1,1,1,1,2,3,spam
9.1,1,1,1,2,1,1,3,spam
7.138,2,1,1,1,2,1,2,spam
6.266,2,1,2,2,1,2,3,spam
4.297,2,1,1,1,2,1,1,spam
3.666,1,2,1,1,1,2,3,spam
4.273,1,1,1,2,2,1,3,spam
6.932,2,2,1,2,1,2,3,spam
2.571,2,1,2,1,1,2,2,spam
4.411,2,2,2,2,2,1,3,spam
1.894,2,1,1,2,2,2,2,spam
2.333,1,1,2,1,1,1,2,spam
1,1,1,1,1,1,1,1,spam
5.459,2,2,2,2,1,2,2,spam
4.339,2,2,1,1,2,2,3,spam
4.43,1,1,1,2,2,1,3,spam
3.502,1,1,2,2,2,1,2,spam
12.454,2,1,2,2,2,1,1,spam
3.571,1,2,1,2,1,1,3,spam
4,1,1,1,1,2,2,2,spam
664,1,1,1,1,2,2,3,spam
3.115,2,1,1,2,2,1,2,spam
1.409,1,1,1,1,2,1,3,spam
16.644,1,1,1,1,2,1,1,spam
2.953,2,2,1,1,2,2,3,spam
3.697,1,2,2,2,1,2,3,spam
2,1,1,2,1,1,1,2,spam
129.5,1,1,2,2,2,1,3,spam
8.763,1,2,2,1,2,2,2,spam
3.382,2,2,2,2,2,1,3,spam
6.305,2,2,2,2,2,2,3,spam
3.305,2,1,2,2,2,2,2,spam
3,2,1,1,1,1,2,1,spam
2.15,2,2,1,1,2,1,2,spam
1.023,1,1,1,2,1,1,1,spam
2.263,1,1,1,2,1,1,2,spam
3.571,1,2,1,2,1,1,3,spam
13.266,1,2,1,1,1,1,3,spam
8.55,2,2,1,1,2,2,3,spam
6.161,2,2,2,2,2,1,2,spam
11.463,1,2,2,1,1,2,3,spam
8.55,2,2,1,1,2,2,3,spam
3.163,2,1,2,1,2,2,3,spam
1.779,1,1,1,2,2,1,2,spam
2.922,2,1,1,2,2,2,2,spam
3.16,2,1,2,1,2,2,3,spam
8.166,2,1,1,1,1,1,1,spam
3.439,2,1,1,1,1,2,2,spam
2.021,2,1,2,2,1,2,2,spam
3.219,2,1,2,2,2,1,3,spam
3.328,2,1,2,2,2,2,2,spam
9.64,1,1,2,2,1,2,2,spam
4.171,1,2,1,1,1,2,2,spam
4.041,2,1,1,2,2,2,2,spam
3.745,2,1,1,2,2,2,2,spam
3.214,2,1,2,1,1,1,2,spam
5.236,2,1,2,2,2,1,3,spam
2.08,2,1,2,2,2,1,2,spam
337.25,2,1,1,1,2,2,3,spam
337.25,2,1,1,1,2,2,3,spam
3.632,2,1,1,1,2,1,2,spam
8.55,2,2,1,1,2,2,3,spam
5.872,2,2,2,2,2,2,2,spam
5.872,2,2,2,2,2,2,2,spam
2.235,1,1,1,1,2,2,2,spam
1.94,2,1,2,2,2,1,2,spam
1.055,1,1,1,1,1,1,1,spam
4,2,2,1,2,1,1,2,spam
2.051,2,2,1,1,2,2,1,spam
3.964,1,2,2,2,2,2,3,spam
4.923,2,2,2,1,2,2,2,spam
5.886,1,2,1,1,2,1,2,spam
1.781,2,1,1,2,2,2,2,spam
1.895,1,1,1,1,2,1,2,spam
2.779,2,1,1,1,2,1,1,spam
2.257,2,1,1,2,1,1,2,spam
2.82,2,1,1,2,2,1,1,spam
4.333,2,1,1,2,1,2,3,spam
8.445,2,2,2,1,2,2,3,spam
1,1,1,1,1,1,1,1,spam
2.257,2,1,1,2,1,1,2,spam
2.285,2,1,1,2,2,1,2,spam
6.584,2,1,2,2,2,1,2,spam
2.444,2,1,1,1,1,1,2,spam
2.375,2,2,1,1,2,2,3,spam
5.85,2,1,2,2,2,1,2,spam
2,2,1,2,1,2,2,1,spam
2.03,2,1,2,1,2,2,1,spam
2.932,2,2,1,2,1,2,3,spam
3.537,1,1,1,1,1,1,2,spam
2.015,2,1,2,1,2,2,1,spam
14.58,1,1,2,1,2,1,2,spam
4.137,2,1,2,2,2,2,2,spam
1.102,2,1,1,2,2,1,2,spam
1.826,1,1,1,2,2,2,3,spam
2.326,2,1,1,1,2,1,1,spam
1.796,2,2,1,1,2,2,1,spam
7.552,1,1,1,2,1,1,2,spam
4.071,2,1,1,2,2,1,2,spam
1.8,1,1,1,1,1,2,3,spam
2.215,1,1,1,2,2,2,1,spam
3.15,2,1,1,1,1,2,1,spam
2.4,1,1,1,1,1,1,1,spam
3.771,1,2,1,1,2,1,2,spam
1.833,2,1,1,1,2,2,3,spam
4.18,1,1,2,1,1,1,2,spam
3.816,1,2,1,1,2,1,2,spam
1.325,2,1,1,2,1,1,2,spam
6.652,2,1,2,2,1,2,3,spam
9.218,2,1,2,1,1,1,3,spam
9.652,1,1,2,2,1,2,3,spam
3.066,2,1,1,1,2,1,2,spam
3.758,1,2,1,1,2,1,2,spam
5.622,2,2,2,2,2,2,2,spam
2.492,2,1,1,2,2,1,1,spam
8.972,2,1,1,2,2,1,2,spam
3.809,1,1,1,1,1,1,3,spam
9.25,2,1,1,2,1,1,2,spam
3.707,1,1,2,1,1,1,2,spam
3.812,1,1,1,1,1,2,2,spam
56.538,1,1,1,2,2,2,3,spam
3.758,1,2,1,1,2,1,2,spam
7.55,2,2,1,2,2,2,3,spam
8.733,1,1,2,1,1,1,1,spam
3.809,1,1,1,1,1,1,3,spam
8.161,1,2,1,1,1,2,1,spam
6.601,2,2,2,2,2,2,3,spam
4.47,2,1,2,1,2,1,2,spam
6.111,2,1,2,2,2,1,2,spam
57.076,1,1,1,2,2,2,3,spam
57.076,1,1,1,2,2,2,3,spam
3.689,1,2,1,1,2,1,2,spam
2.08,2,2,1,2,1,2,3,spam
4.551,1,1,1,2,1,1,3,spam
6.029,2,2,2,2,2,2,3,spam
3.774,1,1,2,2,2,2,2,spam
22.714,1,1,1,1,2,1,2,spam
4.192,1,2,1,1,2,1,1,spam
5.038,1,2,1,1,2,2,1,spam
5.038,1,2,1,1,2,2,1,spam
5.038,1,2,1,1,2,2,1,spam
8.851,1,2,1,2,2,2,2,spam
2.7,2,1,1,2,1,2,2,spam
2.842,2,1,1,2,1,1,3,spam
5.241,2,1,2,1,2,2,3,spam
3.529,2,1,1,1,2,2,1,spam
6.758,2,2,2,2,2,2,2,spam
24.375,1,1,1,1,1,1,1,spam
4.1,1,2,1,1,1,2,3,spam
2,1,1,1,1,1,1,3,spam
107.4,1,1,1,1,2,2,3,spam
4.466,1,1,1,1,1,1,3,spam
5.708,2,1,2,2,2,1,2,spam
1.787,1,1,1,2,1,1,2,spam
1.787,1,1,1,2,1,1,2,spam
5.87,1,1,1,2,2,2,3,spam
2.058,1,1,1,2,1,1,1,spam
6.813,2,2,2,2,2,2,2,spam
1.915,2,2,1,1,1,1,1,spam
1.867,2,2,2,1,1,1,1,spam
3.707,1,1,2,2,2,1,3,spam
1.58,2,1,2,1,2,2,2,spam
6.266,2,1,1,1,1,2,2,spam
5.985,1,1,2,2,2,2,3,spam
2.666,1,1,1,1,1,1,3,spam
1.559,2,2,1,1,2,1,1,spam
2.093,2,2,1,1,2,2,1,spam
3.791,2,1,1,1,2,2,2,spam
4.947,1,1,2,2,2,2,3,spam
2.405,2,1,2,1,1,2,1,spam
3.384,1,1,1,1,2,2,1,spam
1.666,1,1,1,1,1,1,3,spam
1.6,1,1,1,2,1,1,1,spam
49.866,1,1,1,2,2,2,3,spam
57.23,1,1,1,2,2,2,3,spam
10.125,2,1,1,1,2,2,3,spam
3.446,2,1,2,1,2,1,2,spam
5.181,1,1,2,1,1,2,1,spam
12.148,2,1,1,2,1,1,3,spam
57.23,1,1,1,2,2,2,3,spam
2.25,1,1,1,2,2,1,1,spam
2.25,1,1,1,2,2,1,1,spam
667,1,1,1,1,2,2,3,spam
3.476,1,2,1,1,1,2,1,spam
2.2,1,1,1,2,1,1,3,spam
2.93,1,1,2,2,2,1,2,spam
2,1,1,1,1,1,1,1,spam
5.761,2,2,2,2,2,2,3,spam
2.358,1,1,2,2,2,2,1,spam
2.227,1,1,1,1,2,1,1,spam
4.84,2,1,1,2,2,1,3,spam
12.332,1,2,2,1,2,1,2,spam
2.441,2,2,1,1,2,2,3,spam
3.545,1,1,1,1,1,2,1,spam
6.59,1,2,2,2,2,2,3,spam
11.96,1,1,2,1,1,2,2,spam
4.5,1,1,2,1,1,2,1,spam
2.592,2,1,1,2,1,2,1,spam
3.89,1,1,1,2,1,2,3,spam
4.576,2,2,1,2,1,2,2,spam
1.494,2,1,2,2,2,2,1,spam
9.186,1,2,1,2,1,2,2,spam
2.868,1,1,1,2,2,1,3,spam
1.494,2,1,2,2,2,2,1,spam
1.494,2,1,2,2,2,2,1,spam
2.627,1,2,1,2,2,2,3,spam
10.578,1,2,1,1,1,2,3,spam
2.555,1,2,1,2,2,2,3,spam
1.937,1,1,1,2,2,2,3,spam
2.586,2,1,1,2,2,1,2,spam
2.555,1,2,1,2,2,2,3,spam
4.035,1,1,1,2,2,1,2,spam
3.35,2,2,1,1,2,2,3,spam
4.176,1,1,1,2,1,1,2,spam
3.538,2,1,1,2,2,1,2,spam
2.9,1,1,1,1,1,1,3,spam
10.585,1,1,1,1,1,1,2,spam
2.125,2,1,1,1,2,1,1,spam
2.9,1,1,1,1,1,1,3,spam
4.913,1,1,1,1,2,1,1,spam
